plane_import
Title,Description,Priority,Modules,Cycle,Labels,State,Assignee,Created by
D-001: Define canonical domain models,"Define types/structures for all CAST entities: Run, Baseline, Timeline, LKG, Contract check result, Diff, Finding. Required fields for lifecycle, comparability, and evidence linkage must be present. Invariants encoded as validation utilities or guard functions. Must match case_v0.md.",High,Domain & Contracts,M1: Core skeleton,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
D-002: Implement invariant validation layer,"Implement validation for: timeline ownership checks, baseline immutability checks, LKG-in-same-timeline checks, finding-to-diff evidence checks. Violations must produce deterministic structured errors. Invariant checks callable from workflow stages. Depends on D-001.",High,Domain & Contracts,M1: Core skeleton,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
D-003: Implement contract check result schema and reason taxonomy,Define pass/warn/fail status model with structured reason format. Blocking vs non-blocking flags. Environment mismatch = warn (fuzzy comparable). Schema/feature/data scope mismatch = fail. Check results must be persistable and consumable by analysis stage. Depends on D-001.,High,Domain & Contracts,M1: Core skeleton,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
D-004: Define contract/profile model and checker interface,Canonical contract/profile shape and checker execution interface. Separate contract identity/version from run-level verdicts. Depends on D-001.,High,Domain & Contracts,M1: Core skeleton,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
W-001: Build run state machine,"Implement lifecycle: created → prepared → checked → analyzed → closed, with failed as terminal state reachable from any stage. Illegal transitions blocked. Transition history auditable. Must align with workflow_v0.md. Depends on D-001.",High,Workflow Orchestration,M1: Core skeleton,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
W-001a: Define synchronous SDK/CLI result contract,"Canonical result fields for lifecycle status, comparability, references, summaries, and errors. CLI renders from the same result contract returned by the SDK. Depends on D-001 and D-003.",High,Workflow Orchestration,M1: Core skeleton,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
W-002: Implement prepare stage,"Resolve timeline, baseline, previous run, active LKG, custom reference, contract, and source training run. Validate required metrics/artifacts on source run. Actionable error messages on failure. Depends on W-001, D-001, and R-003.",High,Workflow Orchestration,M1: Core skeleton,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
W-002a: Implement first-run baseline bootstrap rule,"If no timeline exists, require explicit baseline_source_run_id. Initialize sentinel/timeline config from that baseline reference and reject baseline changes once the timeline exists. Depends on W-002 and P-001.",High,Workflow Orchestration,M1: Core skeleton,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
W-003: Implement comparability check stage,"Execute contract checker, record pass/warn/fail. Persist check reasons, and do not start analysis before check completion. Depends on W-002, D-003, and D-004.",High,Workflow Orchestration,M1: Core skeleton,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
W-004: Implement analysis branching logic,"Comparable path: compute diffs against all references + generate findings. Non-comparable path: skip metric deltas, emit compatibility records only. Both paths produce summary outputs. Lifecycle transitions to analyzed deterministically. Depends on W-003, E-001, E-002.",High,Workflow Orchestration,M2: Analysis complete,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
W-005: Implement optional LKG promotion stage,Policy evaluation hook. Promote/hold decision record. LKG pointer update via gateway. Promotion only for closed runs. Promotion outcome auditable. Aligns with MLflow promote concept. Depends on W-004 and P-003.,Medium,Workflow Orchestration,M3: Operational trust,P1,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
R-000: Ship system default recipe,"Define default recipe that ships with MLflow-Monitor. Requires no user configuration. Reads whatever metrics/params/tags MLflow already has. No required_metrics, no required_artifacts, no contract gates. Default finding policy and standard summary output. System usable without any user-authored recipe. User-specified recipe overrides default cleanly. Depends on R-001.",High,Recipe Pipeline,M1: Core skeleton,P0,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
R-000a: Define zero-config default behavior details,"Define default source-run selection semantics for non-bootstrap runs, default contract/check behavior when optional evidence is absent, and explicit separation between recipe defaults and first-run baseline bootstrap. Depends on R-000 and D-004.",Medium,Recipe Pipeline,M1: Core skeleton,P1,Backlog,shi.zheng.qxhs@gmail.com,shi.zheng.qxhs@gmail.com
